transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,2,2950,25/02/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,41245
2,3,3120,21/05/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,41701
3,37,402,16/10/2017,FALSE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361
4,88,3135,31/08/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,36145
5,78,787,01/10/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,42226
6,25,2339,08/03/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,39031
7,22,1542,21/04/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,34165
8,15,2459,15/07/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915
9,67,1305,10/08/2017,FALSE,Approved,Solex,Standard,medium,large,1071.23,$380.74,33455
10,12,3262,30/08/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38216
11,5,1986,17/01/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,40784
12,61,2783,05/01/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42172
13,35,1243,26/02/2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,34527
14,16,2717,10/09/2017,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",34586
15,12,247,11/06/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,38193
16,3,2961,10/10/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,37873
17,79,2426,03/04/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,38206
18,33,1842,02/06/2017,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888
